               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.035127,            0.010681,                   0,             0.99697,                   1,               0.995,             0.68891,            0.017653,           0.0056635,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.037341,            0.011849,                   0,              0.9961,                   1,               0.995,             0.66076,            0.019026,            0.005603,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.037296,            0.011451,                   0,             0.99653,                   1,               0.995,             0.68437,            0.015819,           0.0050308,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.035042,            0.010609,                   0,             0.99598,                   1,               0.995,             0.68135,            0.017457,           0.0051851,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.033308,             0.01044,                   0,             0.99747,                   1,               0.995,             0.69295,            0.015974,           0.0050972,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.034755,            0.010988,                   0,             0.99737,                   1,               0.995,             0.69745,             0.01658,           0.0049349,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.031518,           0.0092366,                   0,             0.99735,                   1,               0.995,             0.69479,            0.016576,           0.0047714,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.031123,            0.010727,                   0,             0.99723,                   1,               0.995,             0.70772,            0.016556,           0.0050982,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.031839,           0.0094952,                   0,             0.99737,                   1,               0.995,             0.72817,            0.015689,           0.0047128,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.034286,            0.010446,                   0,             0.99736,                   1,               0.995,             0.70589,            0.017235,           0.0050043,                   0,            0.003169,            0.003169,            0.003169
                  71,              0.0339,            0.011028,                   0,             0.99743,                   1,               0.995,             0.65118,            0.018562,           0.0050281,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.032764,           0.0099771,                   0,              0.9973,                   1,               0.995,             0.75691,             0.01546,           0.0049076,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.031838,            0.010643,                   0,             0.99745,                   1,               0.995,             0.73763,            0.015915,           0.0050423,                   0,            0.002872,            0.002872,            0.002872
                  74,             0.03121,            0.010428,                   0,             0.99738,                   1,               0.995,             0.68471,            0.016401,           0.0052389,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.030455,           0.0096504,                   0,             0.99742,                   1,               0.995,             0.71122,            0.016664,           0.0048407,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.030282,            0.010471,                   0,              0.9974,                   1,               0.995,             0.73893,            0.015169,            0.004521,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.031946,           0.0098475,                   0,             0.99741,                   1,               0.995,             0.74159,            0.014604,           0.0042671,                   0,            0.002476,            0.002476,            0.002476
                  78,             0.02838,           0.0093452,                   0,              0.9975,                   1,               0.995,              0.7575,            0.014875,           0.0044645,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.031559,            0.010695,                   0,             0.99733,                   1,               0.995,             0.72524,             0.01575,            0.004486,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.029716,            0.010025,                   0,             0.99751,                   1,               0.995,             0.70992,            0.015086,           0.0043898,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.028619,            0.010197,                   0,             0.99749,                   1,               0.995,             0.70086,            0.014955,           0.0045809,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.029817,           0.0093782,                   0,             0.99733,                   1,               0.995,             0.68761,            0.015812,           0.0046915,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.027256,           0.0088068,                   0,             0.99755,                   1,               0.995,             0.73219,            0.014602,           0.0044518,                   0,            0.001882,            0.001882,            0.001882
                  84,             0.02749,           0.0091975,                   0,             0.99752,                   1,               0.995,             0.72891,            0.014624,           0.0046365,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.026055,           0.0089691,                   0,             0.99747,                   1,               0.995,             0.75111,            0.014087,           0.0045599,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.028981,           0.0085512,                   0,             0.99745,                   1,               0.995,             0.73731,            0.014647,           0.0045998,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.027896,            0.010557,                   0,             0.99725,                   1,               0.995,             0.75724,             0.01455,           0.0045046,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.027553,           0.0097423,                   0,             0.99742,                   1,               0.995,             0.75595,            0.015468,           0.0045506,                   0,            0.001387,            0.001387,            0.001387
                  89,             0.02776,            0.010021,                   0,             0.99752,                   1,               0.995,             0.74294,            0.015884,           0.0046506,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.027092,            0.010005,                   0,             0.99757,                   1,               0.995,             0.74569,            0.015667,           0.0047593,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.027898,           0.0098695,                   0,             0.99751,                   1,               0.995,             0.75019,            0.015531,           0.0046642,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.025378,            0.009126,                   0,             0.99752,                   1,               0.995,             0.76364,            0.016041,           0.0046798,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.027132,           0.0089778,                   0,             0.99751,                   1,               0.995,             0.75336,            0.015363,           0.0047262,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.024998,            0.008681,                   0,             0.99753,                   1,               0.995,             0.74826,            0.015186,           0.0047213,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.026794,           0.0090238,                   0,             0.99751,                   1,               0.995,             0.74262,             0.01498,           0.0047077,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.027962,           0.0093828,                   0,             0.99757,                   1,               0.995,             0.75923,            0.015425,           0.0048183,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.026541,           0.0086084,                   0,             0.99755,                   1,               0.995,             0.75843,             0.01526,           0.0047071,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.026842,           0.0087071,                   0,             0.99752,                   1,               0.995,             0.75978,            0.014968,           0.0046968,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.026817,           0.0095629,                   0,             0.99752,                   1,               0.995,              0.7562,            0.014865,           0.0046952,                   0,            0.000298,            0.000298,            0.000298
